HEI name,Type,Region,Funding
TU Chemnitz,Universitäten,Sachsen,Land
TU Dresden in Dresden,Universitäten,Sachsen,Land
TU Dresden in Tharandt,Universitäten,Sachsen,Land
TU Dresden in Zittau (IHI),Universitäten,Sachsen,Land
TU Dresden (ohne Klinikum),Universitäten,Sachsen,Land
TU Dresden (Klinikum),Universitäten,Sachsen,Land
TU Dresden (Med. Fakultät),Universitäten,Sachsen,Land
TU Bergakademie Freiberg,Universitäten,Sachsen,Land
U Leipzig,Universitäten,Sachsen,Land
U Leipzig (ohne Klinikum),Universitäten,Sachsen,Land
U Leipzig (Klinikum),Universitäten,Sachsen,Land
U Leipzig (Med. Fakultät),Universitäten,Sachsen,Land
DIU-Dresden International University (U),Universitäten,Sachsen,Privat
HHL Leipzig Graduate School of Management (U),Universitäten,Sachsen,Privat
U Halle in Halle,Universitäten,Sachsen-Anhalt,Land
U Halle in Merseburg,Universitäten,Sachsen-Anhalt,Land
U Halle in Halle (Klinikum),Universitäten,Sachsen-Anhalt,Land
U Magdeburg,Universitäten,Sachsen-Anhalt,Land
U Magdeburg (ohne Klinikum),Universitäten,Sachsen-Anhalt,Land
U Magdeburg (Klinikum),Universitäten,Sachsen-Anhalt,Land
EUF Europa-Universität Flensburg,Universitäten,Schleswig-Holstein,Land
U Kiel,Universitäten,Schleswig-Holstein,Land
U Lübeck,Universitäten,Schleswig-Holstein,Land
Universitätsklinikum Schleswig-Holstein,Universitäten,Schleswig-Holstein,Land
U Erfurt,Universitäten,Thüringen,Land
TU Ilmenau,Universitäten,Thüringen,Land
U Jena,Universitäten,Thüringen,Land
U Jena (ohne Klinikum),Universitäten,Thüringen,Land
U Jena (Klinikum),Universitäten,Thüringen,Land
Bauhaus-U Weimar,Universitäten,Thüringen,Land
PH Freiburg i.Br.,Päd. Hochschulen,Baden-Württemberg,Land
PH Heidelberg,Päd. Hochschulen,Baden-Württemberg,Land
PH Karlsruhe,Päd. Hochschulen,Baden-Württemberg,Land
PH Ludwigsburg,Päd. Hochschulen,Baden-Württemberg,Land
PH Schwäbisch Gmünd,Päd. Hochschulen,Baden-Württemberg,Land
PH Weingarten,Päd. Hochschulen,Baden-Württemberg,Land
H für Philosophie München (Theol. H),Theol. Hochschulen,Bayern,Kirchlich
Augustana-H Neuendettelsau (Theol. H),Theol. Hochschulen,Bayern,Kirchlich
Phil.-Theol. H Frankfurt a.M. (Theol. H),Theol. Hochschulen,Hessen,Kirchlich
Theol. Fakultät Fulda (Theol. H),Theol. Hochschulen,Hessen,Kirchlich
Luth.-Theologische H Oberursel (Theol. H),Theol. Hochschulen,Hessen,Kirchlich
Theologische H Ewersbach in Dietzhölztal (Theol. H),Theol. Hochschulen,Hessen,Privat
Freie Theologische H (FTH) Gießen (Theol. H),Theol. Hochschulen,Hessen,Privat
Evangelische Hochschule Tabor in Marburg (Theol. H),Theol. Hochschulen,Hessen,Privat
H für Kirchenmusik Herford-Witten (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich
Phil.-Theol. H Münster (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich
Theol. Fakultät Paderborn (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich
Kölner H für Katholische Theologie (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich
Kirchliche Hochschule Wuppertal / Bethel in Bethel (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich
Kirchliche Hochschule Wuppertal / Bethel in Wuppertal (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich
Theol. Fakultät Trier (Theol. H),Theol. Hochschulen,Rheinland-Pfalz,Kirchlich
Theol. H Vallendar (Theol. H),Theol. Hochschulen,Rheinland-Pfalz,Kirchlich
Theol. H Friedensau (Theol. H),Theol. Hochschulen,Sachsen-Anhalt,Kirchlich
Staatl. H für Musik Freiburg i.Br. (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land
Staatl. Akademie der Bildenden Künste Karlsruhe (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land
Staatl. H für Gestaltung Karlsruhe (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land
Staatl. H für Musik Karlsruhe (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land
Staatl. H für Musik und Darstellende Kunst Mannheim (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land
Staatl. Akademie der Bildenden Künste Stuttgart (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land
Staatl. H für Musik und Darstellende Kunst Stuttgart (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land
Staatl. H für Musik Trossingen (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land
Akademie der Bildenden Künste München (Kunst-H),Kunsthochschulen,Bayern,Land
H für Fernsehen und Film München (Kunst-H),Kunsthochschulen,Bayern,Land
H für Musik und Theater München (Kunst-H),Kunsthochschulen,Bayern,Land
Akademie der Bildenden Künste Nürnberg (Kunst-H),Kunsthochschulen,Bayern,Land
H für Musik Nürnberg (Kunst-H),Kunsthochschulen,Bayern,Land
H für Musik Würzburg (Kunst-H),Kunsthochschulen,Bayern,Land
H für evang. Kirchenmusik Bayreuth (Kunst-H),Kunsthochschulen,Bayern,Kirchlich
"H für kath. Kirchenmusik und Musikpädagogik, Regensburg (Kunst-H)",Kunsthochschulen,Bayern,Kirchlich
U der Künste Berlin (Kunst-H),Kunsthochschulen,Berlin,Land
Weißensee Kunsthochschule Berlin (Kunst-H),Kunsthochschulen,Berlin,Land
H für Musik Berlin (Kunst-H),Kunsthochschulen,Berlin,Land
H für Schauspielkunst Berlin (Kunst-H),Kunsthochschulen,Berlin,Land
Barenboim-Said Akademie Berlin (Kunst-H),Kunsthochschulen,Berlin,Privat
H für Künste Bremen (Kunst-H),Kunsthochschulen,Bremen,Land
H für Bildende Künste Hamburg (Kunst-H),Kunsthochschulen,Hamburg,Land
H für Musik und Theater Hamburg (Kunst-H),Kunsthochschulen,Hamburg,Land
H für Bildende Künste - Städelschule Frankfurt a.M. (Kunst-H),Kunsthochschulen,Hessen,Land
H für Musik und Darstellende Kunst Frankfurt a.M. (Kunst-H),Kunsthochschulen,Hessen,Land
H für Gestaltung Offenbach (Kunst-H),Kunsthochschulen,Hessen,Land
H für Musik und Theater Rostock (Kunst-H),Kunsthochschulen,Mecklenburg-Vorp.,Land
H für Bildende Künste Braunschweig (Kunst-H),Kunsthochschulen,Niedersachsen,Land
"Hochschule für Musik, Theater und Medien Hannover (Kunst-H)",Kunsthochschulen,Niedersachsen,Land
H für Musik Detmold (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
Kunstakademie Düsseldorf (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
Robert-Schumann-H Düsseldorf (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
Folkwang U der Künste Essen in Bochum (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
Folkwang U der Künste Essen in Dortmund (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
Folkwang U der Künste Essen in Duisburg (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
Folkwang U der Künste Essen in Essen (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
KH für Medien Köln (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
H für Musik und Tanz Köln in Aachen (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
H für Musik und Tanz Köln in Köln (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
H für Musik und Tanz Köln in Wuppertal (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
Kunstakademie Münster (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land
Alanus H Alfter (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Privat
Hochschule der bildenden Künste (HBK) Essen  (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Privat
H der Bildenden Künste Saarbrücken (Kunst-H),Kunsthochschulen,Saarland,Land
Hochschule für Musik Saarbrücken (Kunst-H),Kunsthochschulen,Saarland,Land
H für Bildende Künste Dresden (Kunst-H),Kunsthochschulen,Sachsen,Land
"H für Kirchenmusik der Evang.-Luth. Landeskirche Sachsens, Dresden (Kunst-H)",Kunsthochschulen,Sachsen,Kirchlich
H für Musik Dresden (Kunst-H),Kunsthochschulen,Sachsen,Land
Palucca Hochschule für Tanz Dresden (Kunst-H),Kunsthochschulen,Sachsen,Land
H für Graphik und Buchkunst Leipzig (Kunst-H),Kunsthochschulen,Sachsen,Land
H für Musik und Theater Leipzig (Kunst-H),Kunsthochschulen,Sachsen,Land
Burg Giebichenstein Kunsthochschule Halle (Kunst-H),Kunsthochschulen,Sachsen-Anhalt,Land
Evang. H für Kirchenmusik Halle (Kunst-H),Kunsthochschulen,Sachsen-Anhalt,Kirchlich
Muthesius Kunsthochschule Kiel (Kunst-H),Kunsthochschulen,Schleswig-Holstein,Land
Musikhochschule Lübeck (Kunst-H),Kunsthochschulen,Schleswig-Holstein,Land
H für Musik Weimar (Kunst-H),Kunsthochschulen,Thüringen,Land
Hochschule Aalen - Technik und Wirtschaft in Aalen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
Hochschule Aalen - Technik und Wirtschaft in Schwäbisch Gmünd (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Albstadt-Sigmaringen in Albstadt (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Albstadt-Sigmaringen in Sigmaringen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Biberach a. d. Riss (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Esslingen in Esslingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Esslingen in Göppingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Furtwangen in Furtwangen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Furtwangen in Villingen-Schwenningen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Furtwangen in Tuttlingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Heilbronn in Heilbronn (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Heilbronn in Künzelsau (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Heilbronn in Schwäbisch Hall (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Karlsruhe (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Konstanz (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
Hochschule der Bundesagentur für Arbeit in Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Bund
H Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Nürtingen in Geislingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Nürtingen in Nürtingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Offenburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H Pforzheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
"Duale Hochschule Baden-Württemberg Mosbach, Campus Bad Mergentheim",Hochschule,Baden-Württemberg,Land
"Duale Hochschule Baden-Württemberg Ravensburg, Campus Friedrichshafen",Hochschule,Baden-Württemberg,Land
Duale Hochschule Baden-Württemberg Heidenheim,Hochschule,Baden-Württemberg,Land
Duale Hochschule Baden-Württemberg Heilbronn,Hochschule,Baden-Württemberg,Land
"Duale Hochschule Baden-Württemberg CAS, Heilbronn",Hochschule,Baden-Württemberg,Land
"Duale Hochschule Baden-Württemberg Stuttgart, Campus Horb",Hochschule,Baden-Württemberg,Land
Duale Hochschule Baden-Württemberg Karlsruhe,Hochschule,Baden-Württemberg,Land
Duale Hochschule Baden-Württemberg Lörrach,Hochschule,Baden-Württemberg,Land
Duale Hochschule Baden-Württemberg Mannheim,Hochschule,Baden-Württemberg,Land
Duale Hochschule Baden-Württemberg Mosbach,Hochschule,Baden-Württemberg,Land
Duale Hochschule Baden-Württemberg Ravensburg,Hochschule,Baden-Württemberg,Land
Duale Hochschule Baden-Württemberg Stuttgart,Hochschule,Baden-Württemberg,Land
"Duale Hochschule Baden-Württemberg Präsidium, Stuttgart",Hochschule,Baden-Württemberg,Land
Duale Hochschule Baden-Württemberg Villingen-Schwenningen,Hochschule,Baden-Württemberg,Land
H Ravensburg-Weingarten (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H für Technik und Wirtschaft Reutlingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H für Forstwirtschaft Rottenburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
H für Gestaltung Schwäbisch Gmünd (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
"FH Stuttgart, H der Medien",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
Hochschule für Technik Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
Technische Hochschule Ulm (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land
Internationale Hochschule Liebenzell (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich
H für Ökonomie und Management Essen in Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
H für Ökonomie und Management Essen in Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
H für Ökonomie und Management Essen in Karlsruhe (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
IU Internationale Hochschule Erfurt in Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Stuttgart (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Freiburg i. Br. (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
International School of Management Dortmund in Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
EU European University of Applied Sciences in Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
SRH Hochschule Heidelberg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
"Karlshochschule International University, Karlsruhe (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
Hochschule der Wirtschaft für Management (HdWM) Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
Hochschule für Kommunikation und Gestaltung in Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
Hochschule für Kommunikation und Gestaltung in Ulm (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
Hochschule Fresenius Heidelberg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
"SRH Fernhochschule, Riedlingen (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Freiburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Karlsruhe (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Ulm (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
Allensbach Hochschule Konstanz (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
AKAD Hochschule Stuttgart (Fern-FH),Fern-Fachhochschule,Baden-Württemberg,Privat
VICTORIA - Internationale Hochschule Berlin in Baden Baden (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
media Akademie - Hochschule Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
"Merz Akademie Hochschule für Gestaltung, Kunst und Medien, Stuttgart (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
IB Hochschule für Gesundheit und Soziales Berlin in Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat
Evang. Hochschule Freiburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich
Theologisches Seminar Reutlingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich
Evangelische Hochschule Ludwigsburg in Ludwigsburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich
