HEI name,Type,Region,Funding,URL,Comment
H für Musik und Theater Hamburg (Kunst-H),Kunsthochschulen,Hamburg,Land,www.hfmt-hamburg.de,x
H für Bildende Künste - Städelschule Frankfurt a.M. (Kunst-H),Kunsthochschulen,Hessen,Land,www.staedelschule.de,x
H für Musik und Darstellende Kunst Frankfurt a.M. (Kunst-H),Kunsthochschulen,Hessen,Land,www.hfmdk-frankfurt.de,x
H für Gestaltung Offenbach (Kunst-H),Kunsthochschulen,Hessen,Land,www.hfg-offenbach.de,x
H für Musik und Theater Rostock (Kunst-H),Kunsthochschulen,Mecklenburg-Vorp.,Land,www.hmt-rostock.de,x
H für Bildende Künste Braunschweig (Kunst-H),Kunsthochschulen,Niedersachsen,Land,www.hbk-bs.de,x
"Hochschule für Musik, Theater und Medien Hannover (Kunst-H)",Kunsthochschulen,Niedersachsen,Land,www.hmtm-hannover.de,x
H für Musik Detmold (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land,www.hfm-detmold.de,x
Kunstakademie Düsseldorf (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land,www.kunstakademie-duesseldorf.de,x
Robert-Schumann-H Düsseldorf (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land,www.rsh-duesseldorf.de,x
Folkwang U der Künste Essen in Bochum (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land,www.folkwang-uni.de,x
KH für Medien Köln (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land,www.khm.de,x
H für Musik und Tanz Köln,Kunsthochschulen,Nordrhein-Westfalen,Land,www.hfmt-koeln.de,x
Kunstakademie Münster (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Land,www.kunstakademie-muenster.de,x
Alanus H Alfter (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Privat,www.alanus.edu,x
Hochschule der bildenden Künste (HBK) Essen  (Kunst-H),Kunsthochschulen,Nordrhein-Westfalen,Privat,www.hbk-essen.de,x
H der Bildenden Künste Saarbrücken (Kunst-H),Kunsthochschulen,Saarland,Land,www.hbksaar.de,x
Hochschule für Musik Saarbrücken (Kunst-H),Kunsthochschulen,Saarland,Land,www.hfmsaar.de,d
