id,region,name,category,url,grade,SSLv2.0,SSLv3.0,TLSv1.0,TLSv1.1,TLSv1.2,TLSv1.3,dns_caa,issuer,key_size,key_alg,signature_alg,must_staple,sct,subject,is_valid,cert_chain_trust,beast,heartbleed,poodle,freak,ccs_injection,lucky_minus20,ticket_bleed,bleichenbacher,zombie_poodle,golden_doodle,zero_length_padding_oracle,sleeping_poodle,poodle_tls
163,Baden-Württemberg,Hochschule der Wirtschaft für Management (HdWM) Mannheim (FH),Private,www.hdwm.de,A,False,False,False,False,True,True,False,R3,2048,RSA,SHA256withRSA,False,True,www.hdwm.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
160,Baden-Württemberg,Hochschule für Technik Stuttgart,Public,www.hft-stuttgart.de,B,False,False,True,True,True,False,False,DFN-Verein Global Issuing CA,2048,RSA,SHA256withRSA,False,True,www.hft-stuttgart.de,True,True,True,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
165,Baden-Württemberg,Hochschule Fresenius Heidelberg (FH),Private,www.hs-fresenius.de,A+,False,False,False,False,True,True,False,R3,2048,RSA,SHA256withRSA,False,True,www.hs-fresenius.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
164,Baden-Württemberg,Hochschule für Kommunikation und Gestaltung in Stuttgart (FH),Private,www.hfk-bw.de,B,False,False,True,True,True,True,False,R3,2048,RSA,SHA256withRSA,False,True,hfk-bw.de,True,True,True,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
166,Baden-Württemberg,"SRH Fernhochschule, Riedlingen (FH)",Private,www.mobile-university.de,A+,False,False,False,False,True,True,False,R3,2048,RSA,SHA256withRSA,False,True,mobile-university.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
167,Baden-Württemberg,VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Freiburg (FH),Private,www.vwa-hochschule.de,A,False,False,False,False,True,True,False,R3,2048,RSA,SHA256withRSA,False,True,vwa-hochschule.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
168,Baden-Württemberg,Allensbach Hochschule Konstanz (FH),Private,www.allensbach-hochschule.de,B,False,False,True,True,True,False,False,RapidSSL Global TLS RSA4096 SHA256 2022 CA1,2048,RSA,SHA256withRSA,False,True,*.allensbach-hochschule.de,True,True,True,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
171,Baden-Württemberg,Evang. Hochschule Freiburg (FH),Private,www.eh-freiburg.de,A,False,False,False,False,True,True,False,Starfield Secure Certificate Authority - G2,2048,RSA,SHA256withRSA,False,True,*.eh-freiburg.de,True,False,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
170,Baden-Württemberg,"Merz Akademie Hochschule für Gestaltung, Kunst und Medien, Stuttgart (FH)",Private,www.merz-akademie.de,B,False,False,False,False,True,False,False,R3,2048,RSA,SHA256withRSA,False,True,merz-akademie.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
169,Baden-Württemberg,media Akademie - Hochschule Stuttgart (FH),Private,www.media-hs.de,B,False,False,True,True,True,False,False,Encryption Everywhere DV TLS CA - G1,2048,RSA,SHA256withRSA,False,True,media-hs.de,True,True,True,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
172,Baden-Württemberg,Theologisches Seminar Reutlingen (FH),Private,www.th-reutlingen.de,A,False,False,False,False,True,True,False,R3,2048,RSA,SHA256withRSA,False,True,th-reutlingen.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
174,Baden-Württemberg,"Kath. Hochschule Freiburg i.Br., Campus Freiburg (FH)",Private,www.kh-freiburg.de,A,False,False,False,False,True,True,False,DFN-Verein Global Issuing CA,4096,RSA,SHA256withRSA,False,True,kh-freiburg.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
175,Bayern,Ostbayerische Technische Hochschule Amberg-Weiden (FH) in Amberg,Public,www.oth-aw.de,A,False,False,False,False,True,True,True,Sectigo RSA Organization Validation Secure Server CA,2048,RSA,SHA256withRSA,False,True,www.oth-aw.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
