id,region,name,category,url,dnssec_domain,dnssec_nameserver,has_dnssec,dnssec_is_valid,dnssec_algorithm
298,Rheinland-Pfalz,Katholische Hochschule Mainz (FH),Private,www.kh-mz.de,kh-mz.de,ns2.telekom-domains.de.,True,True,RSASHA256
299,Rheinland-Pfalz,Cusanus Hochschule für Gesellschaftsgestaltung Bernkastel-Kues (FH),Private,www.cusanus-hochschule.de,cusanus-hochschule.de,ns6.kasserver.com.,False,False,
300,Saarland,H für Technik und Wirtschaft des Saarlandes Saarbrücken (FH),Public,www.htwsaar.de,htwsaar.de,ns.htw-saarland.de.,False,False,
301,Saarland,"Deutsche Hochschule für Prävention und Gesundheitsmanagement, Saarbrücken (FH)",Private,www.dhfpg.de,dhfpg.de,ns3.routing.net.,False,False,
303,Sachsen,"H für Technik, Wirtschaft und Kultur Leipzig, Hochschule für angewandte Wissenschaften (FH)",Public,www.htwk-leipzig.de,htwk-leipzig.de,dns-3.dfn.de.,False,False,
302,Sachsen,"H für Technik und Wirtschaft Dresden, Hochschule für angewandte Wissenschaften (FH)",Public,www.htw-dresden.de,htw-dresden.de,hp1.rz.htw-dresden.de.,False,False,
307,Sachsen,Evangelische Hochschule Dresden in Dresden (FH),Private,www.ehs-dresden.de,ehs-dresden.de,ns11.domaincontrol.com.,False,False,
304,Sachsen,"H Mittweida (University of Applied Sciences), Hochschule für angewandte Wissenschaften (FH)",Public,www.hs-mittweida.de,hs-mittweida.de,eris.hrz.tu-chemnitz.de.,False,False,
305,Sachsen,"H Zittau/Görlitz, Hochschule für angewandte Wissenschaften (FH)",Public,www.hszg.de,hszg.de,sirius.hrz.hszg.de.,False,False,
308,Sachsen,Fachhochschule Dresden (FH),Private,www.fh-dresden.eu,fh-dresden.eu,ns27.domaincontrol.com.,False,False,
306,Sachsen,"Westsächsische H Zwickau, Hochschule für angewandte Wissenschaften (FH)",Public,www.fh-zwickau.de,fh-zwickau.de,zeus2.hrz.fh-zwickau.de.,False,False,
309,Sachsen-Anhalt,H Anhalt in Bernburg (FH),Public,www.hs-anhalt.de,hs-anhalt.de,dns-1.dfn.de.,False,False,
310,Sachsen-Anhalt,H Magdeburg-Stendal in Magdeburg (FH),Public,www.h2.de,h2.de,ns-sdl.zki.hs-magdeburg.de.,False,False,
313,Schleswig-Holstein,"FH Westküste, Heide",Public,www.fh-westkueste.de,fh-westkueste.de,ns2.rz.uni-kiel.de.,False,False,
312,Schleswig-Holstein,Hochschule Flensburg (FH),Public,www.hs-flensburg.de,hs-flensburg.de,dns1.fh-flensburg.de.,False,False,
314,Schleswig-Holstein,FH Kiel,Public,www.fh-kiel.de,fh-kiel.de,dns-1.dfn.de.,False,False,
315,Schleswig-Holstein,Technische Hochschule Lübeck (FH),Public,www.th-luebeck.de,th-luebeck.de,dns-1.dfn.de.,False,False,
316,Schleswig-Holstein,Hochschule der Wirtschaft (Nordakademie) Elmshorn (FH),Private,www.nordakademie.de,nordakademie.de,dns-2.dfn.de.,False,False,
318,Schleswig-Holstein,"DHSH - Duale Hochschule Schleswig-Holstein, Kiel (FH)",Private,www.dhsh.de,dhsh.de,ns2.dnspartner.de.,False,False,
317,Schleswig-Holstein,FH Wedel (FH),Private,www.fh-wedel.de,fh-wedel.de,nsnext.fh-wedel.de.,False,False,
320,Thüringen,Ernst-Abbe-Hochschule Jena (FH),Public,www.eah-jena.de,eah-jena.de,deneb.dfn.de.,False,False,
319,Thüringen,FH Erfurt,Public,www.fh-erfurt.de,fh-erfurt.de,deneb.dfn.de.,False,False,
321,Thüringen,Hochschule Nordhausen (FH),Public,www.hs-nordhausen.de,hs-nordhausen.de,deneb.dfn.de.,False,False,
323,Thüringen,SRH FH für Gesundheit Gera (FH),Private,www.srh-gesundheitshochschule.de,srh-gesundheitshochschule.de,dns3.belwue.de.,False,False,
322,Thüringen,Hochschule Schmalkalden (FH),Public,www.hs-schmalkalden.de,hs-schmalkalden.de,mars-two.hs-schmalkalden.de.,False,False,
324,Baden-Württemberg,FH für öffentliche Verwaltung Kehl (Verw-FH),Public,www.hs-kehl.de,hs-kehl.de,dns5.belwue.de.,False,False,
325,Baden-Württemberg,Hochschule Ludwigsburg für öffentliche Verwaltung und Finanzen (Verw-FH),Public,www.hs-ludwigsburg.de,hs-ludwigsburg.de,dns5.belwue.de.,False,False,
326,Baden-Württemberg,FH für Rechtspflege Schwetzingen (Verw-FH),Public,www.fh-schwetzingen.de,fh-schwetzingen.de,ns1106.ui-dns.org.,False,False,
328,Bayern,Hochschule für den öffentlichen Dienst in Bayern Standort Fürstenfeldbruck (Polizei) (Verw-FH),Public,www.fhvr.bayern.de,bayern.de,ns2.bayern.de.,True,True,RSASHA256
327,Baden-Württemberg,Staatl. H für Polizei Villingen-Schwenningen (Verw-FH),Public,www.hfpol-bw.de,hfpol-bw.de,dns1.belwue.de.,False,False,
329,Brandenburg,Hochschule der Polizei Brandenburg in Oranienburg (Verw-FH),Public,hpolbb.de,hpolbb.de,ns4.stratoserver.net.,False,False,
330,Bremen,H für öffentliche Verwaltung Bremen (Verw-FH),Public,www.hfoev.bremen.de,bremen.de,ns.inwx.de.,False,False,
331,Hamburg,Akademie der Polizei Hamburg (Verw-FH),Public,akademie-der-polizei.hamburg.de,hamburg.de,ns1.mcs.de.,False,False,
332,Hessen,FH für Archivwesen Marburg (Verw-FH),Public,www.archivschule.de,archivschule.de,d.ns14.net.,False,False,
