id,region,name,category,url,axfr_domain,axfr_nameservers,has_axfr
380,Saarland,"BA GSS - Berufsakademie für Gesundheits- und Sozialwesen Saarland gGmbH, Saarbrücken (BA)",Private,www.shg-kliniken.de,shg-kliniken.de,[],False
379,Saarland,ASW - Berufsakademie Saarland Neunkirchen (BA),Private,www.asw-berufsakademie.de,asw-berufsakademie.de,[],False
382,Saarland,"Berufsakademie Heimerer GmbH, Quierschied (BA)",Private,www.heimerer.de,heimerer.de,[],False
365,Hessen,Deutsche Berufsakademie Sport und Gesundheit (dba) in Baunatal (BA),Private,www.dba-baunatal.de,dba-baunatal.de,[],False
377,Niedersachsen,Berufsakademie Welfenakademie Braunschweig (BA),Private,welfenakademie.de,welfenakademie.de,[],False
381,Saarland,"ISBA gGmbH - Internationale Studien- und Berufsakademie, Saarbrücken (BA)",Private,www.isba-studium.de,isba-studium.de,[],False
385,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Dresden",Public,www.ba-dresden.de,ba-dresden.de,[],False
388,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Riesa",Public,www.ba-riesa.de,ba-riesa.de,[],
384,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Breitenbrunn",Public,www.ba-breitenbrunn.de,ba-breitenbrunn.de,[],False
391,Hamburg,Norddeutsche Akademie für Finanzen und Steuerrecht,Public,www.hamburg.de,hamburg.de,[],False
390,Niedersachsen,PFH - Private Hochschule Göttingen,Private,www.pfh.de,pfh.de,[],False
392,Baden-Württemberg,Hochschule für Kirchenmusik der Evangelischen Landeskirche in Baden,Private,www.hfk-heidelberg.de,hfk-heidelberg.de,[],False
386,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Glauchau",Public,www.ba-glauchau.de,ba-glauchau.de,[],False
393,Niedersachsen,Polizeiakademie Niedersachsen,Public,www.pa.polizei-nds.de,polizei-nds.de,[],False
395,Rheinland-Pfalz,Hochschule der Polizei Rheinland-Pfalz,Public,www.polizei.rlp.de,rlp.de,[],False
376,Niedersachsen,Berufsakademie Lüneburg (BA),Private,www.vwa-lueneburg.de,vwa-lueneburg.de,[],False
398,Sachsen,Hochschule der Sächsischen Polizei (FH),Public,www.polizei.sachsen.de,sachsen.de,[],False
399,Baden-Württemberg,Hochschule für Kirchenmusik der Evangelischen Landeskirche in Württemberg,Private,www.kirchenmusikhochschule.de,kirchenmusikhochschule.de,[],False
389,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Plauen",Public,www.ba-plauen.de,ba-plauen.de,[],False
396,Baden-Württemberg,Hochschule für Kirchenmusik der Diözese Rottenburg-Stuttgart,Private,www.kirchenmusik-hochschule.org,kirchenmusik-hochschule.org,[],False
383,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Bautzen",Public,www.ba-bautzen.de,ba-bautzen.de,[],False
387,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Leipzig",Public,www.ba-leipzig.de,ba-leipzig.de,[],False
402,Bayern,U der Bundeswehr München (FB Universitätsstudiengänge),Public,www.unibw.de,unibw.de,[],False
397,Saarland,Fachhochschule der Verwaltung des Saarlandes,Public,www.saarland.de,saarland.de,[],False
403,Hamburg,Helmut-Schmidt-Universität Hamburg,Public,www.hsu-hh.de,hsu-hh.de,[],False
406,Niedersachsen,"Kommunale H für Verwaltung in Niedersachsen, Hannover (Verw-FH)",Private,www.nsi-hsvn.de,nsi-hsvn.de,[],False
407,Rheinland-Pfalz,Hochschule der Deutschen Bundesbank Hachenburg (Verw-FH),Public,www.hochschule-bundesbank.de,hochschule-bundesbank.de,[],False
408,Baden-Württemberg,Hochschule der Bundesagentur für Arbeit in Mannheim (FH),Public,www.hdba.de,hdba.de,[],False
404,Hessen,Theologische H Ewersbach in Dietzhölztal (Theol. H),Private,Th-ewersbach.de,Th-ewersbach.de,[],False
410,Nordrhein-Westfalen,"Deutsche Hochschule der Polizei, Münster (U)",Public,www.dhpol.de,dhpol.de,[],False
409,Brandenburg,HMU Health and Medical University Potsdam (U),Private,www.health-and-medical-university.de,health-and-medical-university.de,[],False
411,Bayern,H für Philosophie München (Theol. H),Private,www.hfph.de,hfph.de,[],False
400,Rheinland-Pfalz,Vinzenz Pallotti University,Private,vp-uni.de,vp-uni.de,[],False
401,Baden-Württemberg,H für jüdische Studien Heidelberg (U),Private,www.hfjs.eu,hfjs.eu,[],False
375,Niedersachsen,Berufsakademie Göttingen (BA),Private,www.vwa-goettingen.de,vwa-goettingen.de,[],False
412,Bayern,Augustana-H Neuendettelsau (Theol. H),Private,www.augustana.de,augustana.de,[],False
413,Hessen,Phil.-Theol. H Frankfurt a.M. (Theol. H),Private,www.sankt-georgen.de,sankt-georgen.de,[],False
394,Nordrhein-Westfalen,Hochschule für Finanzen NRW,Public,www.finanzverwaltung.nrw.de,nrw.de,[],False
405,Baden-Württemberg,Internationale Hochschule Liebenzell (FH),Private,Www.ihl.eu,ihl.eu,[],False
414,Hessen,Theol. Fakultät Fulda (Theol. H),Private,www.thf-fulda.de,thf-fulda.de,[],False
415,Hessen,Freie Theologische H (FTH) Gießen (Theol. H),Private,Www.fthgiessen.de,fthgiessen.de,[],False
416,Baden-Württemberg,PH Freiburg i.Br.,Public,www.ph-freiburg.de,ph-freiburg.de,[],False
422,Nordrhein-Westfalen,H für Kirchenmusik Herford-Witten (Theol. H),Private,www.hochschule-kirchenmusik.de,hochschule-kirchenmusik.de,[],False
420,Baden-Württemberg,PH Schwäbisch Gmünd,Public,www.ph-gmuend.de,ph-gmuend.de,[],False
421,Baden-Württemberg,PH Weingarten,Public,www.ph-weingarten.de,ph-weingarten.de,[],False
419,Baden-Württemberg,PH Ludwigsburg,Public,www.ph-ludwigsburg.de,ph-ludwigsburg.de,[],False
423,Nordrhein-Westfalen,Phil.-Theol. H Münster (Theol. H),Private,www.pth-muenster.de,pth-muenster.de,[],False
425,Nordrhein-Westfalen,Kölner H für Katholische Theologie (Theol. H),Private,www.khkt.de,khkt.de,[],False
418,Baden-Württemberg,PH Karlsruhe,Public,www.ph-karlsruhe.de,ph-karlsruhe.de,[],False
426,Baden-Württemberg,Duale Hochschule Baden-Württemberg,Public,www.dhbw.de,dhbw.de,[],False
429,Hamburg,MSH Medical School Hamburg (FH),Private,www.medicalschool-hamburg.de,medicalschool-hamburg.de,[],False
427,Baden-Württemberg,AKAD Hochschule Stuttgart (Fern-FH),Private,www.akad.de,akad.de,[],False
430,Hessen,Hochschule Geisenheim University (FH),Public,www.hs-geisenheim.de,hs-geisenheim.de,[],False
428,Hamburg,Berufliche Hochschule Hamburg (FH),Public,bhh.hamburg.de,hamburg.de,[],False
424,Nordrhein-Westfalen,Theol. Fakultät Paderborn (Theol. H),Private,www.thf-paderborn.de,thf-paderborn.de,[],False
432,Thüringen,Duale Hochschule Gera-Eisenach in Eisenach (FH),Public,www.dhge.de,dhge.de,[],False
436,Niedersachsen,Medizinische H Hannover (U),Public,www.mhh.de,mhh.de,[],False
434,Sachsen-Anhalt,Theol. H Friedensau (Theol. H),Private,www.thh-friedensau.de,thh-friedensau.de,[],False
433,Sachsen,Hochschule Meißen (FH) und Fortbildungszentrum (Verw-FH),Public,www.hsf.sachsen.de,sachsen.de,[],False
437,Nordrhein-Westfalen,U Duisburg-Essen,Public,www.uni-due.org,uni-due.org,[],False
435,Berlin,"Europ. School of Management and Technology, Berlin (U)",Private,esmt.berlin,esmt.berlin,[],False
438,Rheinland-Pfalz,TU Kaiserslautern,Public,rptu.de,rptu.de,[],False
439,Bayern,H für Musik und Theater München (Kunst-H),Public,www.hmtm.de,hmtm.de,[],False
431,Hessen,Wilhelm Büchner Hochschule Darmstadt (Fern-FH),Private,www.wb-fernstudium.de,wb-fernstudium.de,[],False
442,Baden-Württemberg,SRH Hochschule Heidelberg (FH),Private,www.srh-hochschule-heidelberg.de,srh-hochschule-heidelberg.de,[],False
441,Baden-Württemberg,Technische Hochschule Ulm (FH),Public,studium.hs-ulm.de,hs-ulm.de,[],False
444,Brandenburg,FH für Finanzen Brandenburg Königs Wusterhausen (Verw-FH),Public,fhf.brandenburg.de,brandenburg.de,[],False
445,Hessen,Luth.-Theologische H Oberursel (Theol. H),Private,lthh.de,lthh.de,[],False
440,Saarland,Hochschule für Musik Saarbrücken (Kunst-H),Public,www.hfmsaar.de,hfmsaar.de,[],False
447,Thüringen,IU Internationale Hochschule Erfurt in Mannheim (FH),Private,www.iu.de,iu.de,[],False
449,Nordrhein-Westfalen,International School of Management Dortmund in Stuttgart (FH),Private,www.ism.de,ism.de,[],False
452,Berlin,VICTORIA - Internationale Hochschule Berlin in Baden Baden (FH),Private,www.victoria-hochschule.de,victoria-hochschule.de,[],False
443,Bayern,H für angewandte Wissenschaften Würzburg-Schweinfurt in Schweinfurt (FH),Public,www.thws.de,thws.de,[],False
454,Nordrhein-Westfalen,FH des Mittelstandes (FHM) in Bamberg (FH),Private,www.fh-mittelstand.de,fh-mittelstand.de,[],False
456,Brandenburg,HSD Hochschule Döpfer Köln in Regensburg (FH),Private,www.hs-doepfer.de,hs-doepfer.de,[],False
453,Berlin,Mediadesign Hochschule Berlin in München (FH),Private,www.mediadesign.de,mediadesign.de,[],False
457,Nordrhein-Westfalen,Europäische FH (EUFH) in Rostock (FH),Private,www.eufh.de,eufh.de,[],False
458,Nordrhein-Westfalen,"Hochschule des Bundes für öffentliche Verwaltung, FB Bundeswehrverwaltung in Mannheim",Public,www.hsbund.de,hsbund.de,[],False
451,Berlin,IB Hochschule für Gesundheit und Soziales Berlin in Stuttgart (FH),Private,www.ib-hochschule.de,ib-hochschule.de,[],False
417,Baden-Württemberg,PH Heidelberg,Public,www.ph-heidelberg.de,ph-heidelberg.de,[],False
450,Brandenburg,EU European University of Applied Sciences in Mannheim (FH),Private,www.ue-germany.com,ue-germany.com,[],False
455,Berlin,Deutsche Hochschule für Gesundheit und Sport Berlin in Ismaning (FH),Private,www.dhgs-hochschule.de,dhgs-hochschule.de,[],False
448,Nordrhein-Westfalen,H für Ökonomie und Management Essen,Private,www.fom.de,fom.de,[],False
446,Rheinland-Pfalz,Theol. Fakultät Trier (Theol. H),Private,Theologie-trier.de,Theologie-trier.de,[],False
